address,n_scored_trades,smart_money_score,grade,display_name,pnl_alltime,pnl_month,rank,ic_1h,ic_4h,ic_8h,ic_24h,ic_recent_8h,icir_8h,ic_trend,ic_trend_direction,rolling_ic_values,smart_money_rank
0x5db201ae15f9702f0a0ff9f00b8c1c18355373d0,837,0.1884,TIER_3,,17271290.262706,160767.292476,49,-1.0171,0.1414,0.1205,0.044,0.4232,0.0831,-0.002257,DETERIORATING,"[-0.8184337002373252, -0.8176795842824093, -0.8169313605832531, -0.8161889699752425, -0.8154523540978075, -0.814721455380557, -0.8104778506240025, -0.8062764194956483, -0.8021164102289347, -0.7979970899138701]",31
0xffe4e3986d18333402564ea64f3a83fcc1907b52,780,0.1851,TIER_3,,344588.764062,139489.817563,39,-0.3868,-0.3849,0.218,-0.4004,0.2641,0.3467,-0.000908,DETERIORATING,"[0.23012761408239937, 0.22872895732903598, 0.2273345906560703, 0.22594448663783132, 0.22455861810331074, 0.22317695813308872, 0.22187794124651078, 0.22058265762180565, 0.21929108486149662, 0.21800320076337804]",32
0xf191539a2c4ba0af951438bb6abfa0625c7df2ef,29,0.1767,TIER_3,,2966284.709588,509203.457493,153,2.8253,1.0607,0.1096,-1.1976,0.1096,3.9755,-0.04786,DETERIORATING,"[1.6731156052068443, 1.6725521016604084, 1.6742091541651773, 1.6776505604715344, 1.6813096123227877, 1.6838590697404072, 1.6986431758661575, 1.7127221251997102, 1.7270952595365434, 1.7417019548001034]",33
0x9e8c646220613d68eaf2b947f46c2b4f52bf3f45,817,0.1571,TIER_3,,3100743.657707,417421.799849,192,0.0834,0.218,0.1315,0.2893,-0.1236,1.0067,0.013138,IMPROVING,"[0.08806207835982174, 0.07538453720346405, 0.06318248810469944, 0.07397837306983401, 0.08445508389050077, 0.09731312010122847, 0.10977654324162285, 0.12188687953381884, 0.13380163608749754, 0.1454019177874987]",34
0x136bcdfa5ed1c6a350a6a627a757e0e3abfd17dd,710,0.1465,MARGINAL,,63081.93227,575.197397,32,0.0344,0.0014,-0.0703,-0.1018,0.3408,-0.0872,0.003708,IMPROVING,"[0.017523269405888848, 0.01548397099825744, 0.013428129763250295, -0.01726517143964484, -0.04620774385693002, -0.0646357808891533, -0.08180591565885818, -0.015470514483903207, 0.04004889513666131, 0.007821242319669467]",35
0x1b478d47cc1bce09b93d783c7d48dbd74078dd2f,292,0.1275,MARGINAL,,60230.126963,439.908303,31,-0.223,-0.2206,-0.1691,-0.1304,0.4592,0.2382,-0.002135,DETERIORATING,"[-0.17915615731286372, -0.17715083159392986, -0.17516424609951425, -0.1731882909328462, -0.17227192089504034, -0.1736161502192158, -0.1724611586093852, -0.1713355354197167, -0.1702270451642884, -0.16912360272439098]",36
0x8bae3527e5a33fa0cf184f37bc112d071463ab6d,704,0.1258,MARGINAL,,6116310.842676,927723.762454,183,-0.0053,-0.3772,0.0572,0.3197,0.0572,1.4505,-0.001095,DETERIORATING,"[0.062291773529781255, 0.061242623556446475, 0.060195888265380436, 0.05915155544579552, 0.05810961297771444, 0.05707004883108752, 0.056032851064920654, 0.054998007826413516, 0.05396550735010816, 0.05293533795704769]",37
0x0871deb34bfd2052b1c10dc4f6c0912a2a47e927,377,0.1168,MARGINAL,PURRINA Pro Plan,8540249.619234,779686.591592,108,0.1232,4.1126,0.189,6.5393,0.189,-1.7318,0.025993,IMPROVING,"[0.12637843702494037, 0.1338508365562165, 0.1412009896124919, 0.14841353573185903, 0.15551372612646194, 0.1624286024645987, 0.16922319309619344, 0.1759020587972107, 0.18248778744727137, 0.18898346238141295]",38
0x4583f9b7a06ab8b5b7b4a7dd27e774356015d406,877,0.1163,MARGINAL,,2806946.999668,1352.085862,3,-0.131,0.3853,0.193,-0.3343,0.193,-0.111,-0.001136,DETERIORATING,"[0.18842733915639362, 0.1885426111076929, 0.18865781285901653, 0.18877294453808544, 0.18888800627223484, 0.18900299818841573, 0.1891179204131967, 0.19020803425611266, 0.19129602089709052, 0.19112974577019962]",39
0x28736f43f1e871e6aa8b1148d38d4994275d72c4,288,0.1151,MARGINAL,,159212.33546,2448.445731,124,-0.0141,0.2327,0.173,0.0796,0.214,0.1083,-0.002965,DETERIORATING,"[0.17859232272434805, 0.19044314152873176, 0.1907150305459873, 0.19819181542183748, 0.20260409845201421, 0.20719849527136475, 0.18043415065148644, 0.1785526170079581, 0.1786098012668193, 0.19431620325296442]",40
0x5bca4075dfc8065235cf75c6b15b410e62845fec,1169,0.0821,MARGINAL,RichardPinner,1427374.144395,3962.173542,72,-0.1715,-0.0589,0.037,-0.0604,0.212,-0.2255,0.000124,IMPROVING,"[0.21807585541074365, 0.22323081137155845, 0.22369892651023737, 0.2257439413829745, 0.22186893388879553, 0.2179812155881304, 0.20943712359647268, 0.19706839829837455, 0.17988666756564015, 0.1657464029477812]",41
0x5b28335f6d5cd5a1ac3b66eb2edd2b917e7aa4a4,515,0.0784,MARGINAL,,489944.923165,484060.037899,15,-0.1361,-0.0928,0.1314,0.4829,0.0879,-0.1511,0.001389,IMPROVING,"[0.1819121678678833, 0.1816726152156526, 0.18143379680362007, 0.18119570870664417, 0.18095834702910663, 0.18072170790462683, 0.1804857874957797, 0.18025058199381663, 0.1800160876183903, 0.17978230061728168]",42
0x5e56ef6d97424b606175366cc735cd26ac1d1086,725,0.0465,NO_EDGE,,146094.32,125390.27,23,-0.0801,0.0489,0.18,0.4337,0.0145,-0.3827,0.001222,IMPROVING,"[0.43690375316257424, 0.4388409598446919, 0.44076968514536796, 0.44269106895428423, 0.4446051888845999, 0.44651212124855905, 0.44841194108694543, 0.45030472219770223, 0.45219053716374635, 0.45406945738000387]",43
0x003a85c562730b196f7cba202a2515f2ff855736,1299,0.0377,NO_EDGE,,892327.602456,223381.824126,8,0.1136,0.0268,0.0356,0.016,0.0356,0.1093,0.000555,IMPROVING,"[0.02911899291221729, 0.02986947217200212, 0.030618843975525466, 0.03136711203115612, 0.03211428002884659, 0.032860351640253076, 0.0336053305188545, 0.03434922030007054, 0.03509202460137878, 0.03557972670604193]",44
0xad99c596d2cef64cb027fe81169d6d179d340a76,213,0.0282,NO_EDGE,,62496.238184,897.02535,114,-0.2719,-0.1047,-0.1354,0.1352,0.3168,-0.7322,-0.000906,DETERIORATING,"[0.41461425114813116, 0.4106766847138682, 0.4068017668840492, 0.25826011371884955, 0.1701573986159946, 0.10761146863273896, 0.058926989338370706, 0.018865105260168654, -0.01151572188402102, -0.10315836480993364]",45
